"Number","Start Time","End Time","Duration","Symbol Duration","Text"
"1","00:00:06,169","00:00:07,820","1.651","0.15009090909090908","One, two..."
"2","00:00:11,883","00:00:14,581","2.698","0.11730434782608695","Are you from Lviv? Yes."
"3","00:00:17,132","00:00:20,799","3.667","0.09167499999999999","We`re brothers, and here brother said..."
"4","00:00:22,157","00:00:27,656","5.499","0.08086764705882353","Vasya, this Malevich isn`t cool, and this fool says that he is good."
"5","00:00:27,697","00:00:32,000","4.303","0.07549122807017544","When Tkachenko left, I led at TSN for a couple of months."
"6","00:00:32,818","00:00:36,000","3.182","0.07576190476190477","Oh my God, we don't have a prime minister."
"7","00:00:36,000","00:00:38,560","2.56","0.05446808510638298","On the 5th day she said, couldn't you kick him?"
"8","00:00:38,864","00:00:41,609","2.745","0.13071428571428573","Slap him in the face."
"9","00:00:42,300","00:00:47,000","4.7","0.094","On the 10th day, well, not so much, just a little,"
"10","00:00:47,000","00:00:49,011","2.011","0.0427872340425532","why are you slapping him in the face like that?"
"11","00:00:49,562","00:01:00,349","10.787","0.15410000000000001","As long as you don't have 100,000 on the Maidan, we won't do anything."
"12","00:01:00,698","00:01:03,114","2.416","0.11504761904761904","Everyone was on time."
"13","00:01:04,586","00:01:06,884","2.298","0.08207142857142857","Even Yanukovych was on time."
"14","00:01:09,000","00:01:14,000","5.0","0.1","In Ukraine, if you gave money, you are a good boy."
"15","00:01:14,000","00:01:17,393","3.393","0.0754","Again, such an age, such a disease, this age."
"16","00:01:19,000","00:01:20,750","1.75","0.0330188679245283","Let's do it like in Moscow, everything is fine there."
"17","00:01:21,603","00:01:24,603","3.0","0.058823529411764705","He came and said, like this, you will act as I say,"
"18","00:01:25,000","00:01:26,372","1.372","0.098","and that's it."
"19","00:01:26,722","00:01:31,374","4.652","0.06742028985507247","I would say that this Zelenskyy and Zaluzhnyi is a very simple story."
"20","00:01:31,399","00:01:35,000","3.601","0.10002777777777777","Someone doesn't want Putin to die..."
"21","00:01:37,000","00:01:40,202","3.202","0.13341666666666666","Lady of Lviv, Yaffarion."
"22","00:01:41,317","00:01:44,710","3.393","0.11699999999999999","Here is such a subtle moment."
"23","00:01:45,000","00:01:48,829","3.829","0.22523529411764706","What do you want?"
"24","00:01:49,790","00:01:51,433","1.643","0.09127777777777778","Hey, you assholes!"
"25","00:01:51,774","00:01:54,000","2.226","0.05565","Why the hell are you talking in Russian?"
"26","00:01:55,434","00:01:58,018","2.584","0.136","Yermak is terrible."
"27","00:01:58,401","00:02:02,000","3.599","0.0444320987654321","I will shoot myself in front of your eyes for the sake of the victory of Ukraine."
"28","00:02:02,536","00:02:04,000","1.464","0.06971428571428571","What is this content?"
"29","00:02:04,000","00:02:07,000","3.0","0.07894736842105263","Let me smear the f**king spirituality."
"30","00:02:07,671","00:02:12,394","4.723","0.07871666666666667","Only I will personally give you a gun so that you kill them."
"31","00:02:14,323","00:02:18,844","4.521","0.06028","Mykola Veresen, the meter of Ukrainian television and Ukrainian journalism."
"32","00:02:18,869","00:02:22,663","3.794","0.05928125","Today we have a conversation from the  appropriate to the taboo."
"33","00:02:23,000","00:02:27,000","4.0","0.06666666666666667","And, by the way, not a meter, but a meter and seventy-eight."
"34","00:02:27,000","00:02:29,000","2.0","0.06896551724137931","I would like to clarify this."
"35","00:02:29,000","00:02:31,639","2.639","0.039984848484848484","Watch on the YouTube channel of Natalia Moseichuk, Mykola Veresen."
"36","00:02:33,742","00:02:39,758","6.016","0.15425641025641026","Moseychuk + He`s called Mykola Veresen."
"37","00:02:40,000","00:02:42,000","2.0","0.16666666666666666","You sat? Hi."
"38","00:02:43,968","00:02:46,968","3.0","0.06666666666666667","This means the beginning, we usually do this."
"39","00:02:47,000","00:02:50,000","3.0","0.08108108108108109","I know, I have some experience in TV."
"40","00:02:50,000","00:02:52,000","2.0","0.06451612903225806","Not a big one, but... A little."
"41","00:02:52,000","00:02:54,000","2.0","0.06666666666666667","Especially with this director."
"42","00:02:54,243","00:02:55,000","0.757","0.12616666666666668","Clear."
"43","00:02:55,000","00:02:57,000","2.0","0.07407407407407407","And with the director, yes."
"44","00:02:57,000","00:02:58,457","1.457","0.06938095238095239","Not much has changed."
"45","00:02:59,000","00:03:01,000","2.0","0.045454545454545456","Well, it has changed and it has not changed."
"46","00:03:01,000","00:03:03,000","2.0","0.08","You can't say so clearly."
"47","00:03:03,000","00:03:06,000","3.0","0.12","All these are conditions."
"48","00:03:06,664","00:03:09,000","2.336","0.09344","Both phrases are correct."
"49","00:03:09,000","00:03:11,474","2.474","0.06343589743589743","People do not change and people change."
"50","00:03:11,499","00:03:13,000","1.501","0.04414705882352941","Both of these phrases are correct."
"51","00:03:14,065","00:03:15,552","1.487","0.042485714285714286","They do not change and they change."
"52","00:03:15,577","00:03:17,664","2.087","0.049690476190476195","Television does not change and it changes."
"53","00:03:17,689","00:03:19,730","2.041","0.05233333333333333","Ukraine does not change and it changes."
"54","00:03:19,755","00:03:24,554","4.799","0.06665277777777778","Here... It will not change... You can't say so accurately and determine."
"55","00:03:24,579","00:03:26,579","2.0","0.06060606060606061","Only your phrase does not change."
"56","00:03:26,604","00:03:28,000","1.396","0.04503225806451613","How do you start the broadcast?"
"57","00:03:28,544","00:03:30,000","1.456","0.056","I`m called Mykola Veresen."
"58","00:03:30,000","00:03:31,000","1.0","0.1111111111111111","Yes, yes."
"59","00:03:31,000","00:03:32,000","1.0","0.0625","That's the name."
"60","00:03:32,000","00:03:32,814","0.814","0.0814","It's true."
"61","00:03:32,839","00:03:34,000","1.161","0.0725625","That's the name."
"62","00:03:34,000","00:03:38,000","4.0","0.0784313725490196","Thank you that we were able to get you out of Lviv."
"63","00:03:38,000","00:03:39,000","1.0","0.058823529411764705","Yes, this is God."
"64","00:03:39,000","00:03:40,000","1.0","0.06666666666666667","This is not me."
"65","00:03:40,000","00:03:41,000","1.0","0.06666666666666667","This is no one."
"66","00:03:41,000","00:03:42,727","1.727","0.052333333333333336","This is some kind of divine idea."
"67","00:03:42,752","00:03:45,000","2.248","0.06075675675675676","Because I really had to come to Kyiv."
"68","00:03:45,000","00:03:46,000","1.0","0.041666666666666664","I had things to do here."
"69","00:03:46,000","00:03:48,000","2.0","0.08333333333333333","And they called me here."
"70","00:03:48,000","00:03:50,633","2.633","0.041140625","And I thought, well, if I'm already here, then why won't I come?"
"71","00:03:50,658","00:03:52,633","1.975","0.13166666666666668","I never refuse."
"72","00:03:52,704","00:03:55,000","2.296","0.05102222222222222","Because I don't like it when  they refuse me."
"73","00:03:55,000","00:03:57,395","2.395","0.055697674418604654","Because I have such a profession as you do."
"74","00:03:57,871","00:04:00,000","2.129","0.04258","And it's obvious that when you consider something,"
"75","00:04:00,000","00:04:04,000","4.0","0.057971014492753624","and then a person runs away at the last moment, it's very unpleasant."
"76","00:04:04,000","00:04:07,000","3.0","0.06818181818181818","And I know what it's like so I never refuse."
"77","00:04:07,000","00:04:08,000","1.0","0.1","Thank you."
"78","00:04:08,000","00:04:09,000","1.0","0.05","Because, well, what?"
"79","00:04:09,000","00:04:11,397","2.397","0.08877777777777777","If I had been in your place"
"80","00:04:11,421","00:04:14,000","2.579","0.04605357142857143","and invited you, and you hadn't come at the last moment,"
"81","00:04:14,000","00:04:16,055","2.055","0.08934782608695653","what would I have done?"
"82","00:04:16,079","00:04:17,000","0.92","0.0575","I understand it."
"83","00:04:17,000","00:04:19,618","2.618","0.04363333333333333","I had such an attitude yesterday when one person refused me."
"84","00:04:19,642","00:04:21,213","1.57","0.0490625","And I was a little disappointed."
"85","00:04:21,238","00:04:24,532","3.294","0.0549","But I also want to say thank you to Den Borysovich Yanevsky."
"86","00:04:24,557","00:04:30,724","6.167","0.0780632911392405","Because he, sitting here in your place a week ago, remembered how you, in 1991,"
"87","00:04:30,749","00:04:37,000","6.251","0.0781375","having, it seems, 20 dollars in your pocket, paid for a car and went to Belarus."
"88","00:04:37,392","00:04:41,000","3.608","0.055507692307692306","And, in fact, today it is also the subject of our study with you."
"89","00:04:41,000","00:04:48,766","7.766","0.09245238095238095","Because you are a person who saw the independence for 33 years and a little earlier."
"90","00:04:49,000","00:04:51,000","2.0","0.06451612903225806","And you have something to tell."
"91","00:04:51,000","00:04:56,000","5.0","0.056818181818181816","And I am interested in this, because all these memories of people who sit in this chair,"
"92","00:04:56,000","00:05:00,000","4.0","0.07142857142857142","they are very subjective, but they are very fragmentary."
"93","00:05:00,000","00:05:03,417","3.417","0.08135714285714285","And the story consists of these fragments."
"94","00:05:03,442","00:05:05,893","2.451","0.05978048780487805","Because the views on it can be different."
"95","00:05:05,918","00:05:08,000","2.082","0.08675","But this is a testimony."
"96","00:05:08,000","00:05:12,146","4.146","0.06188059701492537","And I listened to you when you said that people think in every way,"
