"Number","Start Time","End Time","Duration","Symbol Duration","TTS Symbol Duration","TTS Speed Closest","Speaker","Text"
"1","00:00:06,169","00:00:07,820","1.651","0.15009090909090908","0.1423068783068783","0.8","female","One, two..."
"2","00:00:11,883","00:00:14,581","2.698","0.11730434782608695","0.1131005291005291","1.0","female","Are you from Lviv? Yes."
"3","00:00:17,132","00:00:20,799","3.667","0.09167499999999999","0.08321693121693122","1.3","female","We`re brothers, and here brother said..."
"4","00:00:22,157","00:00:27,656","5.499","0.08086764705882353","0.07559788359788361","1.5","female","Vasya, this Malevich isn`t cool, and this fool says that he is good."
"5","00:00:27,697","00:00:32,000","4.303","0.07549122807017544","0.07144973544973544","1.6","female","When Tkachenko left, I led at TSN for a couple of months."
"6","00:00:32,818","00:00:36,000","3.182","0.07576190476190477","0.07559788359788361","1.5","female","Oh my God, we don't have a prime minister."
"7","00:00:36,000","00:00:38,560","2.56","0.05446808510638298","0.05147089947089947","2.2","female","On the 5th day she said, couldn't you kick him?"
"8","00:00:38,864","00:00:41,609","2.745","0.13071428571428573","0.1131005291005291","1.0","female","Slap him in the face."
"9","00:00:42,300","00:00:47,000","4.7","0.094","0.08321693121693122","1.3","female","On the 10th day, well, not so much, just a little,"
"10","00:00:47,000","00:00:49,011","2.011","0.0427872340425532","0.0452063492063492","2.5","female","why are you slapping him in the face like that?"
"11","00:00:49,562","00:01:00,349","10.787","0.15410000000000001","0.1423068783068783","0.8","female","As long as you don't have 100,000 on the Maidan, we won't do anything."
"12","00:01:00,698","00:01:03,114","2.416","0.11504761904761904","0.1131005291005291","1.0","female","Everyone was on time."
"13","00:01:04,586","00:01:06,884","2.298","0.08207142857142857","0.07559788359788361","1.5","female","Even Yanukovych was on time."
"14","00:01:09,000","00:01:14,000","5.0","0.1","0.09532275132275132","1.2","female","In Ukraine, if you gave money, you are a good boy."
"15","00:01:14,000","00:01:17,393","3.393","0.0754","0.07144973544973544","1.6","female","Again, such an age, such a disease, this age."
"16","00:01:19,000","00:01:20,750","1.75","0.0330188679245283","0.0452063492063492","2.5","female","Let's do it like in Moscow, everything is fine there."
"17","00:01:21,603","00:01:24,603","3.0","0.058823529411764705","0.057227513227513224","2.0","female","He came and said, like this, you will act as I say,"
"18","00:01:25,000","00:01:26,372","1.372","0.098","0.09532275132275132","1.2","female","and that's it."
"19","00:01:26,722","00:01:31,374","4.652","0.06742028985507247","0.06425396825396826","1.8","female","I would say that this Zelenskyy and Zaluzhnyi is a very simple story."
"20","00:01:31,399","00:01:35,000","3.601","0.10002777777777777","0.09532275132275132","1.2","female","Someone doesn't want Putin to die..."
"21","00:01:37,000","00:01:40,202","3.202","0.13341666666666666","0.13104761904761905","0.9","female","Lady of Lviv, Yaffarion."
"22","00:01:41,317","00:01:44,710","3.393","0.11699999999999999","0.1131005291005291","1.0","female","Here is such a subtle moment."
"23","00:01:45,000","00:01:48,829","3.829","0.22523529411764706","0.1903915343915344","0.6","female","What do you want?"
"24","00:01:49,790","00:01:51,433","1.643","0.09127777777777778","0.08321693121693122","1.3","female","Hey, you assholes!"
"25","00:01:51,774","00:01:54,000","2.226","0.05565","0.054603174603174605","2.1","female","Why the hell are you talking in Russian?"
"26","00:01:55,434","00:01:58,018","2.584","0.136","0.13104761904761905","0.9","female","Yermak is terrible."
"27","00:01:58,401","00:02:02,000","3.599","0.0444320987654321","0.0452063492063492","2.5","female","I will shoot myself in front of your eyes for the sake of the victory of Ukraine."
"28","00:02:02,536","00:02:04,000","1.464","0.06971428571428571","0.06755555555555556","1.7","female","What is this content?"
"29","00:02:04,000","00:02:07,000","3.0","0.07894736842105263","0.07559788359788361","1.5","female","Let me smear the f**king spirituality."
"30","00:02:07,671","00:02:12,394","4.723","0.07871666666666667","0.07559788359788361","1.5","female","Only I will personally give you a gun so that you kill them."
"31","00:02:14,323","00:02:18,844","4.521","0.06028","0.057227513227513224","2.0","female","Mykola Veresen, the meter of Ukrainian television and Ukrainian journalism."
"32","00:02:18,869","00:02:22,663","3.794","0.05928125","0.057227513227513224","2.0","female","Today we have a conversation from the  appropriate to the taboo."
"33","00:02:23,000","00:02:27,000","4.0","0.06666666666666667","0.06425396825396826","1.8","female","And, by the way, not a meter, but a meter and seventy-eight."
"34","00:02:27,000","00:02:29,000","2.0","0.06896551724137931","0.06755555555555556","1.7","female","I would like to clarify this."
"35","00:02:29,000","00:02:31,639","2.639","0.039984848484848484","0.0452063492063492","2.5","female","Watch on the YouTube channel of Natalia Moseichuk, Mykola Veresen."
"36","00:02:33,742","00:02:39,758","6.016","0.15425641025641026","0.1423068783068783","0.8","female","Moseychuk + He`s called Mykola Veresen."
"37","00:02:40,000","00:02:42,000","2.0","0.16666666666666666","0.16228571428571428","0.7","female","You sat? Hi."
"38","00:02:43,968","00:02:46,968","3.0","0.06666666666666667","0.06425396825396826","1.8","female","This means the beginning, we usually do this."
"39","00:02:47,000","00:02:50,000","3.0","0.08108108108108109","0.07559788359788361","1.5","female","I know, I have some experience in TV."
"40","00:02:50,000","00:02:52,000","2.0","0.06451612903225806","0.06425396825396826","1.8","female","Not a big one, but... A little."
"41","00:02:52,000","00:02:54,000","2.0","0.06666666666666667","0.06425396825396826","1.8","female","Especially with this director."
"42","00:02:54,243","00:02:55,000","0.757","0.12616666666666668","0.1131005291005291","1.0","female","Clear."
"43","00:02:55,000","00:02:57,000","2.0","0.07407407407407407","0.07144973544973544","1.6","female","And with the director, yes."
"44","00:02:57,000","00:02:58,457","1.457","0.06938095238095239","0.06755555555555556","1.7","female","Not much has changed."
"45","00:02:59,000","00:03:01,000","2.0","0.045454545454545456","0.0452063492063492","2.5","female","Well, it has changed and it has not changed."
"46","00:03:01,000","00:03:03,000","2.0","0.08","0.07559788359788361","1.5","female","You can't say so clearly."
"47","00:03:03,000","00:03:06,000","3.0","0.12","0.1131005291005291","1.0","female","All these are conditions."
"48","00:03:06,664","00:03:09,000","2.336","0.09344","0.08321693121693122","1.3","female","Both phrases are correct."
"49","00:03:09,000","00:03:11,474","2.474","0.06343589743589743","0.060783068783068786","1.9","female","People do not change and people change."
"50","00:03:11,499","00:03:13,000","1.501","0.04414705882352941","0.0452063492063492","2.5","female","Both of these phrases are correct."
